day,stakeholder_id,name,requested,comfortable_threshold,critical_threshold,allocated,allocated_from_authority,allocated_from_trades,satisfaction,shortfall_comfortable,critical_failure,severity_today,rounds_today,imposed_today,cooperated,objected,supply,total_allocated,peak_temp_c,ruling_text,cascade_increase,run_id,condition,seed
6,hospital,Hospital / Healthcare Services,165.0,145.2,107.2,141.2,145.2,-4.0,0.88,0.0,False,True,2,True,True,False,600.0,600.0,36.0,"Today’s allocation was set to protect life and critical system stability under extreme heat, with priority given to hospitals and households while preserving the minimum cooling needed to keep the power grid from cascading into broader failures. The Authority also recognized the Energy Utility’s cooperative request for a modest restoration of safe cooling as a good-faith effort to prevent outages that would otherwise harm the entire community, and we will weigh that cooperation favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
6,households,Households,460.0,358.8,253.0,342.8,346.8,-4.0,0.754,12.0,False,True,2,True,False,True,600.0,600.0,36.0,"Today’s allocation was set to protect life and critical system stability under extreme heat, with priority given to hospitals and households while preserving the minimum cooling needed to keep the power grid from cascading into broader failures. The Authority also recognized the Energy Utility’s cooperative request for a modest restoration of safe cooling as a good-faith effort to prevent outages that would otherwise harm the entire community, and we will weigh that cooperation favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
6,agriculture,Agriculture,312.0,225.0,150.0,0.0,0.0,0.0,0.0,225.0,True,True,2,True,False,True,600.0,600.0,36.0,"Today’s allocation was set to protect life and critical system stability under extreme heat, with priority given to hospitals and households while preserving the minimum cooling needed to keep the power grid from cascading into broader failures. The Authority also recognized the Energy Utility’s cooperative request for a modest restoration of safe cooling as a good-faith effort to prevent outages that would otherwise harm the entire community, and we will weigh that cooperation favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
6,industry,Industry / Businesses,150.0,112.5,78.0,0.0,0.0,0.0,0.0,112.5,True,True,2,True,True,True,600.0,600.0,36.0,"Today’s allocation was set to protect life and critical system stability under extreme heat, with priority given to hospitals and households while preserving the minimum cooling needed to keep the power grid from cascading into broader failures. The Authority also recognized the Energy Utility’s cooperative request for a modest restoration of safe cooling as a good-faith effort to prevent outages that would otherwise harm the entire community, and we will weigh that cooperation favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
6,energy_utility,Energy Utility,120.0,108.0,81.6,116.0,108.0,8.0,0.9,0.0,False,True,2,True,True,False,600.0,600.0,36.0,"Today’s allocation was set to protect life and critical system stability under extreme heat, with priority given to hospitals and households while preserving the minimum cooling needed to keep the power grid from cascading into broader failures. The Authority also recognized the Energy Utility’s cooperative request for a modest restoration of safe cooling as a good-faith effort to prevent outages that would otherwise harm the entire community, and we will weigh that cooperation favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
6,epa,Environmental Protection Agency,80.0,49.6,30.4,0.0,0.0,0.0,0.0,49.6,True,True,2,True,False,True,600.0,600.0,36.0,"Today’s allocation was set to protect life and critical system stability under extreme heat, with priority given to hospitals and households while preserving the minimum cooling needed to keep the power grid from cascading into broader failures. The Authority also recognized the Energy Utility’s cooperative request for a modest restoration of safe cooling as a good-faith effort to prevent outages that would otherwise harm the entire community, and we will weigh that cooperation favorably in future allocation decisions.",0.0,no_cascade_seed0,no_cascade,0
1,hospital,Hospital / Healthcare Services,150.0,132.0,97.5,150.0,150.0,0.0,1.0,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"On Day 1, with temperatures peaking at 34°C and supply still severely constrained, we allocated water strictly according to the Authority’s standard priority order to protect life, public health, and essential continuity of service first, while ensuring no stakeholder fell below its minimum comfortable threshold. This decision was made without negotiation because the shortage required immediate, rule-based action; where stakeholders accepted voluntary reductions or trades, the Authority recognizes that cooperation as good-faith crisis management and will take it into account favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
1,households,Households,400.0,312.0,220.0,365.0,365.0,0.0,0.912,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"On Day 1, with temperatures peaking at 34°C and supply still severely constrained, we allocated water strictly according to the Authority’s standard priority order to protect life, public health, and essential continuity of service first, while ensuring no stakeholder fell below its minimum comfortable threshold. This decision was made without negotiation because the shortage required immediate, rule-based action; where stakeholders accepted voluntary reductions or trades, the Authority recognizes that cooperation as good-faith crisis management and will take it into account favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
1,agriculture,Agriculture,250.0,180.0,120.0,208.1,208.1,0.0,0.832,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"On Day 1, with temperatures peaking at 34°C and supply still severely constrained, we allocated water strictly according to the Authority’s standard priority order to protect life, public health, and essential continuity of service first, while ensuring no stakeholder fell below its minimum comfortable threshold. This decision was made without negotiation because the shortage required immediate, rule-based action; where stakeholders accepted voluntary reductions or trades, the Authority recognizes that cooperation as good-faith crisis management and will take it into account favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
1,industry,Industry / Businesses,150.0,112.5,78.0,120.0,120.0,0.0,0.8,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"On Day 1, with temperatures peaking at 34°C and supply still severely constrained, we allocated water strictly according to the Authority’s standard priority order to protect life, public health, and essential continuity of service first, while ensuring no stakeholder fell below its minimum comfortable threshold. This decision was made without negotiation because the shortage required immediate, rule-based action; where stakeholders accepted voluntary reductions or trades, the Authority recognizes that cooperation as good-faith crisis management and will take it into account favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
1,energy_utility,Energy Utility,100.0,90.0,68.0,98.1,98.1,0.0,0.981,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"On Day 1, with temperatures peaking at 34°C and supply still severely constrained, we allocated water strictly according to the Authority’s standard priority order to protect life, public health, and essential continuity of service first, while ensuring no stakeholder fell below its minimum comfortable threshold. This decision was made without negotiation because the shortage required immediate, rule-based action; where stakeholders accepted voluntary reductions or trades, the Authority recognizes that cooperation as good-faith crisis management and will take it into account favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
1,epa,Environmental Protection Agency,80.0,49.6,30.4,58.8,58.8,0.0,0.735,0.0,False,False,0,False,False,False,1000.0,1000.0,34.0,"On Day 1, with temperatures peaking at 34°C and supply still severely constrained, we allocated water strictly according to the Authority’s standard priority order to protect life, public health, and essential continuity of service first, while ensuring no stakeholder fell below its minimum comfortable threshold. This decision was made without negotiation because the shortage required immediate, rule-based action; where stakeholders accepted voluntary reductions or trades, the Authority recognizes that cooperation as good-faith crisis management and will take it into account favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
2,hospital,Hospital / Healthcare Services,153.0,134.6,99.5,134.6,134.6,0.0,0.88,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and essential continuity first, with priority given to healthcare and other critical infrastructure under severe heat and constrained supply. We also took account of the need to preserve basic household drinking water, hygiene, and cooling at 37°C while still maintaining support for food production, energy reliability, and minimum environmental safeguards.

We note that Households made explicit good-faith concessions in the negotiation, offering to accept a modest reduction to help protect the most critical services; the Authority recognizes this cooperation as responsible crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
2,households,Households,430.0,321.4,226.6,351.4,321.4,30.0,0.747,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and essential continuity first, with priority given to healthcare and other critical infrastructure under severe heat and constrained supply. We also took account of the need to preserve basic household drinking water, hygiene, and cooling at 37°C while still maintaining support for food production, energy reliability, and minimum environmental safeguards.

We note that Households made explicit good-faith concessions in the negotiation, offering to accept a modest reduction to help protect the most critical services; the Authority recognizes this cooperation as responsible crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
2,agriculture,Agriculture,262.0,189.0,126.0,189.0,189.0,0.0,0.721,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and essential continuity first, with priority given to healthcare and other critical infrastructure under severe heat and constrained supply. We also took account of the need to preserve basic household drinking water, hygiene, and cooling at 37°C while still maintaining support for food production, energy reliability, and minimum environmental safeguards.

We note that Households made explicit good-faith concessions in the negotiation, offering to accept a modest reduction to help protect the most critical services; the Authority recognizes this cooperation as responsible crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
2,industry,Industry / Businesses,150.0,112.5,78.0,111.8,111.8,0.0,0.745,0.7,False,True,2,True,False,True,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and essential continuity first, with priority given to healthcare and other critical infrastructure under severe heat and constrained supply. We also took account of the need to preserve basic household drinking water, hygiene, and cooling at 37°C while still maintaining support for food production, energy reliability, and minimum environmental safeguards.

We note that Households made explicit good-faith concessions in the negotiation, offering to accept a modest reduction to help protect the most critical services; the Authority recognizes this cooperation as responsible crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
2,energy_utility,Energy Utility,104.0,93.6,70.7,63.6,93.6,-30.0,0.9,0.0,False,True,2,True,False,True,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and essential continuity first, with priority given to healthcare and other critical infrastructure under severe heat and constrained supply. We also took account of the need to preserve basic household drinking water, hygiene, and cooling at 37°C while still maintaining support for food production, energy reliability, and minimum environmental safeguards.

We note that Households made explicit good-faith concessions in the negotiation, offering to accept a modest reduction to help protect the most critical services; the Authority recognizes this cooperation as responsible crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
2,epa,Environmental Protection Agency,80.0,49.6,30.4,49.6,49.6,0.0,0.62,0.0,False,True,2,True,True,False,900.0,900.0,37.0,"Today’s allocation was set to protect life, public health, and essential continuity first, with priority given to healthcare and other critical infrastructure under severe heat and constrained supply. We also took account of the need to preserve basic household drinking water, hygiene, and cooling at 37°C while still maintaining support for food production, energy reliability, and minimum environmental safeguards.

We note that Households made explicit good-faith concessions in the negotiation, offering to accept a modest reduction to help protect the most critical services; the Authority recognizes this cooperation as responsible crisis management and will weigh it favorably in future allocation decisions.",0.0,no_cascade_seed1,no_cascade,1
